Vehicle,Origin,Destination,Time
1213,12,0,1.616667
1214,24,0,1.616667
1215,2,0,1.616667
1216,8,0,1.566667
1217,18,0,1.616667
1218,32,0,1.616667
1219,54,0,1.616667
1220,1,0,1.616667
1221,48,0,1.616667
1222,9,0,0.683333
1223,19,0,1.616667
1224,22,0,1.616667
1225,34,0,1.616667
1226,46,0,1.616667
1227,6,0,1.083333
1228,16,0,1.616667
1229,56,0,1.616667
1230,21,0,1.616667
1231,55,0,1.616667
1232,3,2,1.616667
1233,24,2,1.616667
1234,8,2,0.550000
1235,18,2,1.616667
1236,32,2,1.616667
1237,1,2,1.616667
1238,48,2,1.616667
1239,34,2,1.616667
1240,16,2,1.616667
1241,56,2,1.616667
